method,start0,start1,iter,x,f_x,dx
newton_analytic,0.5,nan,1,0.315349065223934,0.0294037801356101,0.184650934776066
newton_analytic,0.5,nan,2,0.205652917909601,0.00845888335926678,0.109696147314333
newton_analytic,0.5,nan,3,0.135821831060737,0.00247512568464755,0.0698310868488639
newton_analytic,0.5,nan,4,0.0901777845916211,0.000729373558708782,0.0456440464691163
newton_analytic,0.5,nan,5,0.0600100249837235,0.000215590642692288,0.0301677596078976
newton_analytic,0.5,nan,6,0.0399746860840901,6.38105883983526e-05,0.0200353388996334
newton_analytic,0.5,nan,7,0.0266403297039283,1.88978914170318e-05,0.0133343563801618
newton_analytic,0.5,nan,8,0.0177574191158189,5.59819791317565e-06,0.00888291058810936
newton_analytic,0.5,nan,9,0.0118374499163958,1.65857034097607e-06,0.00591996919942313
newton_analytic,0.5,nan,10,0.0078913875461626,4.91407846236661e-07,0.00394606237023318
newton_analytic,0.5,nan,11,0.00526085222733516,1.45599638248545e-07,0.00263053531882744
newton_analytic,0.5,nan,12,0.00350721324761046,4.31402797841243e-08,0.0017536389797247
newton_analytic,0.5,nan,13,0.0023381357738755,1.27822585347806e-08,0.00116907747373496
newton_analytic,0.5,nan,14,0.00155875528890531,3.78732972740189e-09,0.000779380484970186
newton_analytic,0.5,nan,15,0.0010391696315076,1.12217096315067e-09,0.000519585657397708
newton_analytic,0.5,nan,16,0.000692779588090983,3.32494993883418e-10,0.000346390043416621
newton_analytic,0.5,nan,17,0.000461853009433629,9.85170211191344e-11,0.000230926578657354
newton_analytic,0.5,nan,18,0.000307901991747013,2.91902266573071e-11,0.000153951017686616
newton_analytic,0.5,nan,19,0.000205267990191615,8.64895579915246e-12,0.000102634001555398
newton_analytic,0.5,nan,20,0.000136845325560972,2.56265354312213e-12,6.84226646306429e-05
newton_analytic,0.5,nan,21,9.12302166655604e-05,7.59304739906629e-13,4.5615108895412e-05
newton_analytic,0.5,nan,22,6.08201445882275e-05,2.24979183422667e-13,3.04100720773328e-05
newton_analytic,0.5,nan,23,4.05467632610596e-05,6.66605012164299e-14,2.02733813271679e-05
newton_analytic,0.5,nan,24,2.70311754739975e-05,1.97512582735167e-14,1.35155877870621e-05
newton_analytic,0.5,nan,25,1.80207840215543e-05,5.85222568530106e-15,9.01039145244325e-06
newton_analytic,0.5,nan,26,1.20138558205606e-05,1.73399306428167e-15,6.00692820099365e-06
newton_analytic,0.5,nan,27,8.00923654233007e-06,5.13774889306714e-16,4.00461927823057e-06
newton_analytic,0.5,nan,28,5.33949302047144e-06,1.52229390166672e-16,2.66974352185863e-06
newton_analytic,0.5,nan,29,3.55966628088922e-06,4.51052342106424e-17,1.77982673958222e-06
newton_analytic,0.5,nan,30,2.37311251491577e-06,1.33646988399644e-17,1.18655376597345e-06
newton_analytic,0.5,nan,31,1.58206992462892e-06,3.95974191000623e-18,7.91042590286857e-07
newton_analytic,0.5,nan,32,1.05472149457176e-06,1.17331804001544e-18,5.27348430057156e-07
newton_analytic,0.5,nan,33,7.03146390557605e-07,3.47701203778088e-19,3.51575104014156e-07
newton_analytic,0.5,nan,34,4.68739456160923e-07,1.03040256682451e-19,2.34406934396682e-07
newton_analytic,0.5,nan,35,3.12442023925695e-07,3.05254689364036e-20,1.56297432235227e-07
newton_analytic,0.5,nan,36,2.08238077471357e-07,9.01643762028248e-21,1.04203946454338e-07
newton_analytic,0.5,nan,37,1.38894142652666e-07,2.68314046775892e-21,6.93439348186916e-08
newton_analytic,0.5,nan,38,9.25540393786741e-08,8.01493879214081e-22,4.63401032739916e-08
newton_analytic,0.5,nan,39,6.14790385594216e-08,2.32068510077658e-22,3.10750008192525e-08
newton_analytic,0.5,nan,40,4.1003795191442e-08,7.28373720296849e-23,2.04752433679797e-08
newton_analytic,0.5,nan,41,2.68302856155671e-08,1.78725605086031e-23,1.41735095758748e-08
newton_analytic,0.5,nan,42,1.83432345928243e-08,8.14603255642167e-24,8.48705102274285e-09
newton_analytic,0.5,nan,43,1.10507032781788e-08,2.45374904354697e-24,7.29253131464545e-09
newton_analytic,0.5,nan,44,5.78831714058043e-09,0,5.26238613759841e-09
newton_analytic,0.5,nan,45,5.78831714058043e-09,0,0
newton_analytic,0.5,nan,1,0.315349065223934,0.0294037801356101,0.184650934776066
newton_analytic,0.5,nan,2,0.205652917909601,0.00845888335926678,0.109696147314333
newton_analytic,0.5,nan,3,0.135821831060737,0.00247512568464755,0.0698310868488639
newton_analytic,0.5,nan,4,0.0901777845916211,0.000729373558708782,0.0456440464691163
newton_analytic,0.5,nan,5,0.0600100249837235,0.000215590642692288,0.0301677596078976
newton_analytic,0.5,nan,6,0.0399746860840901,6.38105883983526e-05,0.0200353388996334
newton_analytic,0.5,nan,7,0.0266403297039283,1.88978914170318e-05,0.0133343563801618
newton_analytic,0.5,nan,8,0.0177574191158189,5.59819791317565e-06,0.00888291058810936
newton_analytic,0.5,nan,9,0.0118374499163958,1.65857034097607e-06,0.00591996919942313
newton_analytic,0.5,nan,10,0.0078913875461626,4.91407846236661e-07,0.00394606237023318
newton_analytic,0.5,nan,11,0.00526085222733516,1.45599638248545e-07,0.00263053531882744
newton_analytic,0.5,nan,12,0.00350721324761046,4.31402797841243e-08,0.0017536389797247
newton_analytic,0.5,nan,13,0.0023381357738755,1.27822585347806e-08,0.00116907747373496
newton_analytic,0.5,nan,14,0.00155875528890531,3.78732972740189e-09,0.000779380484970186
newton_analytic,0.5,nan,15,0.0010391696315076,1.12217096315067e-09,0.000519585657397708
newton_analytic,0.5,nan,16,0.000692779588090983,3.32494993883418e-10,0.000346390043416621
newton_analytic,0.5,nan,17,0.000461853009433629,9.85170211191344e-11,0.000230926578657354
newton_analytic,0.5,nan,18,0.000307901991747013,2.91902266573071e-11,0.000153951017686616
newton_analytic,0.5,nan,19,0.000205267990191615,8.64895579915246e-12,0.000102634001555398
newton_analytic,0.5,nan,20,0.000136845325560972,2.56265354312213e-12,6.84226646306429e-05
newton_analytic,0.5,nan,21,9.12302166655604e-05,7.59304739906629e-13,4.5615108895412e-05
newton_analytic,0.5,nan,22,6.08201445882275e-05,2.24979183422667e-13,3.04100720773328e-05
newton_analytic,0.5,nan,23,4.05467632610596e-05,6.66605012164299e-14,2.02733813271679e-05
newton_analytic,0.5,nan,24,2.70311754739975e-05,1.97512582735167e-14,1.35155877870621e-05
newton_analytic,0.5,nan,25,1.80207840215543e-05,5.85222568530106e-15,9.01039145244325e-06
newton_analytic,0.5,nan,26,1.20138558205606e-05,1.73399306428167e-15,6.00692820099365e-06
newton_analytic,0.5,nan,27,8.00923654233007e-06,5.13774889306714e-16,4.00461927823057e-06
newton_analytic,0.5,nan,28,5.33949302047144e-06,1.52229390166672e-16,2.66974352185863e-06
newton_analytic,0.5,nan,29,3.55966628088922e-06,4.51052342106424e-17,1.77982673958222e-06
newton_analytic,0.5,nan,30,2.37311251491577e-06,1.33646988399644e-17,1.18655376597345e-06
newton_analytic,0.5,nan,31,1.58206992462892e-06,3.95974191000623e-18,7.91042590286857e-07
newton_analytic,0.5,nan,32,1.05472149457176e-06,1.17331804001544e-18,5.27348430057156e-07
newton_analytic,0.5,nan,33,7.03146390557605e-07,3.47701203778088e-19,3.51575104014156e-07
newton_analytic,0.5,nan,34,4.68739456160923e-07,1.03040256682451e-19,2.34406934396682e-07
newton_analytic,0.5,nan,35,3.12442023925695e-07,3.05254689364036e-20,1.56297432235227e-07
newton_analytic,0.5,nan,36,2.08238077471357e-07,9.01643762028248e-21,1.04203946454338e-07
newton_analytic,0.5,nan,37,1.38894142652666e-07,2.68314046775892e-21,6.93439348186916e-08
newton_analytic,0.5,nan,38,9.25540393786741e-08,8.01493879214081e-22,4.63401032739916e-08
newton_analytic,0.5,nan,39,6.14790385594216e-08,2.32068510077658e-22,3.10750008192525e-08
newton_analytic,0.5,nan,40,4.1003795191442e-08,7.28373720296849e-23,2.04752433679797e-08
newton_analytic,0.5,nan,41,2.68302856155671e-08,1.78725605086031e-23,1.41735095758748e-08
newton_analytic,0.5,nan,42,1.83432345928243e-08,8.14603255642167e-24,8.48705102274285e-09
newton_analytic,0.5,nan,43,1.10507032781788e-08,2.45374904354697e-24,7.29253131464545e-09
newton_analytic,0.5,nan,44,5.78831714058043e-09,0,5.26238613759841e-09
newton_analytic,0.5,nan,45,5.78831714058043e-09,0,0
newton_analytic,0.5,nan,1,0.315349065223934,0.0294037801356101,0.184650934776066
newton_analytic,0.5,nan,2,0.205652917909601,0.00845888335926678,0.109696147314333
newton_analytic,0.5,nan,3,0.135821831060737,0.00247512568464755,0.0698310868488639
newton_analytic,0.5,nan,4,0.0901777845916211,0.000729373558708782,0.0456440464691163
newton_analytic,0.5,nan,5,0.0600100249837235,0.000215590642692288,0.0301677596078976
newton_analytic,0.5,nan,6,0.0399746860840901,6.38105883983526e-05,0.0200353388996334
newton_analytic,0.5,nan,7,0.0266403297039283,1.88978914170318e-05,0.0133343563801618
newton_analytic,0.5,nan,8,0.0177574191158189,5.59819791317565e-06,0.00888291058810936
newton_analytic,0.5,nan,9,0.0118374499163958,1.65857034097607e-06,0.00591996919942313
newton_analytic,0.5,nan,10,0.0078913875461626,4.91407846236661e-07,0.00394606237023318
newton_analytic,0.5,nan,11,0.00526085222733516,1.45599638248545e-07,0.00263053531882744
newton_analytic,0.5,nan,12,0.00350721324761046,4.31402797841243e-08,0.0017536389797247
newton_analytic,0.5,nan,13,0.0023381357738755,1.27822585347806e-08,0.00116907747373496
newton_analytic,0.5,nan,14,0.00155875528890531,3.78732972740189e-09,0.000779380484970186
newton_analytic,0.5,nan,15,0.0010391696315076,1.12217096315067e-09,0.000519585657397708
newton_analytic,0.5,nan,16,0.000692779588090983,3.32494993883418e-10,0.000346390043416621
newton_analytic,0.5,nan,17,0.000461853009433629,9.85170211191344e-11,0.000230926578657354
newton_analytic,0.5,nan,18,0.000307901991747013,2.91902266573071e-11,0.000153951017686616
newton_analytic,0.5,nan,19,0.000205267990191615,8.64895579915246e-12,0.000102634001555398
newton_analytic,0.5,nan,20,0.000136845325560972,2.56265354312213e-12,6.84226646306429e-05
newton_analytic,0.5,nan,21,9.12302166655604e-05,7.59304739906629e-13,4.5615108895412e-05
newton_analytic,0.5,nan,22,6.08201445882275e-05,2.24979183422667e-13,3.04100720773328e-05
newton_analytic,0.5,nan,23,4.05467632610596e-05,6.66605012164299e-14,2.02733813271679e-05
newton_analytic,0.5,nan,24,2.70311754739975e-05,1.97512582735167e-14,1.35155877870621e-05
newton_analytic,0.5,nan,25,1.80207840215543e-05,5.85222568530106e-15,9.01039145244325e-06
newton_analytic,0.5,nan,26,1.20138558205606e-05,1.73399306428167e-15,6.00692820099365e-06
newton_analytic,0.5,nan,27,8.00923654233007e-06,5.13774889306714e-16,4.00461927823057e-06
newton_analytic,0.5,nan,28,5.33949302047144e-06,1.52229390166672e-16,2.66974352185863e-06
newton_analytic,0.5,nan,29,3.55966628088922e-06,4.51052342106424e-17,1.77982673958222e-06
