method,start0,start1,iter,x,f_x,dx
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
secant,-2.9,-3.19116329158334,2,-3.16113629947307,-0.171077497475286,0.0300269921102694
secant,-3.19116329158334,-3.16113629947307,3,-3.16809932764775,-0.00383468572279722,0.00696302817468064
secant,-3.16113629947307,-3.16809932764775,4,-3.16825898189207,2.69525335907517e-05,0.000159654244323626
secant,-3.16809932764775,-3.16825898189207,5,-3.16825786757579,-4.19688361841253e-09,1.11431628146974e-06
secant,-3.16825898189207,-3.16825786757579,6,-3.16825786774928,-5.99520433297585e-15,1.73487446630816e-10
secant,-3.1,-2.9,1,-3.19116329158334,0.566667997453806,0.291163291583338
