method,start0,start1,iter,x,f_x,dx
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
secant,-6.1,-6.27695872556156,2,-6.28163167608871,-0.425661734365476,0.00467295052714878
secant,-6.27695872556156,-6.28163167608871,3,-6.28083085932372,0.00165488034056338,0.000800816764990664
secant,-6.28163167608871,-6.28083085932372,4,-6.28083396066795,1.32203668701258e-06,3.10134423830988e-06
secant,-6.28083085932372,-6.28083396066795,5,-6.28083396314751,-4.02899935636469e-12,2.47955611598627e-09
secant,-6.28083396066795,-6.28083396314751,6,-6.2808339631475,2.33146835171283e-13,7.99360577730113e-15
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
secant,-6.1,-6.27695872556156,2,-6.28163167608871,-0.425661734365476,0.00467295052714878
secant,-6.27695872556156,-6.28163167608871,3,-6.28083085932372,0.00165488034056338,0.000800816764990664
secant,-6.28163167608871,-6.28083085932372,4,-6.28083396066795,1.32203668701258e-06,3.10134423830988e-06
secant,-6.28083085932372,-6.28083396066795,5,-6.28083396314751,-4.02899935636469e-12,2.47955611598627e-09
secant,-6.28083396066795,-6.28083396314751,6,-6.2808339631475,2.33146835171283e-13,7.99360577730113e-15
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
secant,-6.1,-6.27695872556156,2,-6.28163167608871,-0.425661734365476,0.00467295052714878
secant,-6.27695872556156,-6.28163167608871,3,-6.28083085932372,0.00165488034056338,0.000800816764990664
secant,-6.28163167608871,-6.28083085932372,4,-6.28083396066795,1.32203668701258e-06,3.10134423830988e-06
secant,-6.28083085932372,-6.28083396066795,5,-6.28083396314751,-4.02899935636469e-12,2.47955611598627e-09
secant,-6.28083396066795,-6.28083396314751,6,-6.2808339631475,2.33146835171283e-13,7.99360577730113e-15
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
secant,-6.1,-6.27695872556156,2,-6.28163167608871,-0.425661734365476,0.00467295052714878
secant,-6.27695872556156,-6.28163167608871,3,-6.28083085932372,0.00165488034056338,0.000800816764990664
secant,-6.28163167608871,-6.28083085932372,4,-6.28083396066795,1.32203668701258e-06,3.10134423830988e-06
secant,-6.28083085932372,-6.28083396066795,5,-6.28083396314751,-4.02899935636469e-12,2.47955611598627e-09
secant,-6.28083396066795,-6.28083396314751,6,-6.2808339631475,2.33146835171283e-13,7.99360577730113e-15
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
secant,-6.1,-6.27695872556156,2,-6.28163167608871,-0.425661734365476,0.00467295052714878
secant,-6.27695872556156,-6.28163167608871,3,-6.28083085932372,0.00165488034056338,0.000800816764990664
secant,-6.28163167608871,-6.28083085932372,4,-6.28083396066795,1.32203668701258e-06,3.10134423830988e-06
secant,-6.28083085932372,-6.28083396066795,5,-6.28083396314751,-4.02899935636469e-12,2.47955611598627e-09
secant,-6.28083396066795,-6.28083396314751,6,-6.2808339631475,2.33146835171283e-13,7.99360577730113e-15
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
secant,-6.1,-6.27695872556156,2,-6.28163167608871,-0.425661734365476,0.00467295052714878
secant,-6.27695872556156,-6.28163167608871,3,-6.28083085932372,0.00165488034056338,0.000800816764990664
secant,-6.28163167608871,-6.28083085932372,4,-6.28083396066795,1.32203668701258e-06,3.10134423830988e-06
secant,-6.28083085932372,-6.28083396066795,5,-6.28083396314751,-4.02899935636469e-12,2.47955611598627e-09
secant,-6.28083396066795,-6.28083396314751,6,-6.2808339631475,2.33146835171283e-13,7.99360577730113e-15
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
secant,-6.1,-6.27695872556156,2,-6.28163167608871,-0.425661734365476,0.00467295052714878
secant,-6.27695872556156,-6.28163167608871,3,-6.28083085932372,0.00165488034056338,0.000800816764990664
secant,-6.28163167608871,-6.28083085932372,4,-6.28083396066795,1.32203668701258e-06,3.10134423830988e-06
secant,-6.28083085932372,-6.28083396066795,5,-6.28083396314751,-4.02899935636469e-12,2.47955611598627e-09
secant,-6.28083396066795,-6.28083396314751,6,-6.2808339631475,2.33146835171283e-13,7.99360577730113e-15
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
secant,-6.1,-6.27695872556156,2,-6.28163167608871,-0.425661734365476,0.00467295052714878
secant,-6.27695872556156,-6.28163167608871,3,-6.28083085932372,0.00165488034056338,0.000800816764990664
secant,-6.28163167608871,-6.28083085932372,4,-6.28083396066795,1.32203668701258e-06,3.10134423830988e-06
secant,-6.28083085932372,-6.28083396066795,5,-6.28083396314751,-4.02899935636469e-12,2.47955611598627e-09
secant,-6.28083396066795,-6.28083396314751,6,-6.2808339631475,2.33146835171283e-13,7.99360577730113e-15
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
secant,-6.1,-6.27695872556156,2,-6.28163167608871,-0.425661734365476,0.00467295052714878
secant,-6.27695872556156,-6.28163167608871,3,-6.28083085932372,0.00165488034056338,0.000800816764990664
secant,-6.28163167608871,-6.28083085932372,4,-6.28083396066795,1.32203668701258e-06,3.10134423830988e-06
secant,-6.28083085932372,-6.28083396066795,5,-6.28083396314751,-4.02899935636469e-12,2.47955611598627e-09
secant,-6.28083396066795,-6.28083396314751,6,-6.2808339631475,2.33146835171283e-13,7.99360577730113e-15
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
secant,-6.1,-6.27695872556156,2,-6.28163167608871,-0.425661734365476,0.00467295052714878
secant,-6.27695872556156,-6.28163167608871,3,-6.28083085932372,0.00165488034056338,0.000800816764990664
secant,-6.28163167608871,-6.28083085932372,4,-6.28083396066795,1.32203668701258e-06,3.10134423830988e-06
secant,-6.28083085932372,-6.28083396066795,5,-6.28083396314751,-4.02899935636469e-12,2.47955611598627e-09
secant,-6.28083396066795,-6.28083396314751,6,-6.2808339631475,2.33146835171283e-13,7.99360577730113e-15
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
secant,-6.1,-6.27695872556156,2,-6.28163167608871,-0.425661734365476,0.00467295052714878
secant,-6.27695872556156,-6.28163167608871,3,-6.28083085932372,0.00165488034056338,0.000800816764990664
secant,-6.28163167608871,-6.28083085932372,4,-6.28083396066795,1.32203668701258e-06,3.10134423830988e-06
secant,-6.28083085932372,-6.28083396066795,5,-6.28083396314751,-4.02899935636469e-12,2.47955611598627e-09
secant,-6.28083396066795,-6.28083396314751,6,-6.2808339631475,2.33146835171283e-13,7.99360577730113e-15
secant,-6.3,-6.1,1,-6.27695872556156,2.05817266190048,0.176958725561557
